status,title
Salah,Siswa STIN diarahkan untuk melakukan pemalsuan informasi dan dokumen agar terdaftar sebagai pemilih di wilayah Kabupaten Bogor
Salah,Penjelasan PPLN Jeddah dan Bawaslu soal Video Surat Suara Tercoblos di Mekkah
Benar,"Video yang berisi Logistik Pemilu di Distrik Kebo, Paniai, Dibakar"
Salah,Konten yang Diklaim Perbedaan Input Jumlah Suara Capres-Cawapres di TPS 34 Rengas
Salah,Klaim Video Kerusuhan di Solo Setelah Pemilu 2024 pada 15 Februari 2024
Salah,Video Pria Terjun dari Menara Pemancar Bukan Caleg PDI-P Jawa Timur
Salah,Penjelasan soal Surat Suara Sudah Tercoblos Paslon 2 di Kabupaten Bogor
Salah,Penjelasan soal Kabar Surat Suara di Sampang Sudah Dicoblos
Salah,dalam Video Ini Ketua KPPS di Madura Dibacok karena Warga Satu Desa Tidak Bisa Mencoblos Saat Pemilu 2024
Salah,Video Pernyataan SBY Tolak Pilpres 1 Putaran Ini Telah Dimanipulasi
Salah,Foto Amplop Uang Berlogo Partai Sudah Beredar pada Maret 2023
Salah,Pernyataan Lama Ajakan Gibran untuk Pilih Ganjar
Salah,Surat Suara Tercoblos di Sampang Sebelum Pemilu 2024
Salah,02 Curang Surat Suara Tercoblos di Sumenep Sebelum Pemilu 2024
Salah,Foto Sri Mulyani Saat Pemilu 2019 Disebarkan dengan Konteks Keliru
Salah,Klarifikasi KPUD Jatim soal Surat Suara Tercoblos di Sampang Sebelum Pemungutan Suara Pemilu 2024
Salah,Video Berisi Klaim Proses Penghitungan Suara Pemilu 2024 
Salah,Video Lansia di Madura Dipengaruhi Saat Mencoblos
Salah,Video Berisi Klaim Satu Desa di Madura Tak Dapat Undangan Mencoblos dan Semua Surat Suara Tercoblos Sebelum Pemilihan Pemilu 2024
Salah,Video Berisi Klaim Perayaan Kemenangan Kandidat 02 di Malaysia pada 13  Februari 2024
Salah,Video Berisi Klaim Perayaan Kemenangan Kandidat 02 di Malaysia pada 13 Februari 2024
Salah,Klarifikasi KPUD Jatim soal Surat Suara Tercoblos di Sampang Sebelum Pemungutan Suara Pemilu 2024
Salah,Hasil Survei Pilpres 2024 dari Guru Besar IPB
Salah,KPU Berhenti Edarkan Surat Undangan Mencoblos
Salah,dalam Foto Ini Sri Mulyani Mencoblos Pemilu 2024 di Amerika Serikat
Salah,Klarifikasi Klaim Video Surat Suara di Makkah Sudah Tercoblos Nomor 2
Benar,Pesan Berantai tentang Situs Goodkind.id untuk Mengenali Calon Legislatif
Salah,Klarifikasi Klaim Video Surat Suara di Makkah Sudah Tercoblos Nomor 2
Salah,"Pemilu di KBRI Malaysia 02 Berjaya, Prabowo-Gibran Diklaim Menang Mutlak"
Salah,Hasil Survei Pilpres 2024 dari Guru Besar IPB
Salah,Hoaks Hasil Penghitungan Suara Pemilu 2024 di Luar Negeri
Salah,"Warga Sampang Ricuh karena Surat Suara Sudah Tercoblos, KPU Ungkap Kronologi Sebenarnya"
Benar,Pemilih Boleh Buka dan Cek Surat Suara Sebelum Masuk Bilik Pencoblosan
Benar,Pesan Berantai tentang Situs Goodkind.id untuk Mengenali Calon Legislatif
Salah,"Sri Mulyani Mencoblos di AS, Salam Satu Jari 'Kode Alam Semesta'"
Salah,File APK Data TPS Pemilu 2024
Benar,Video Surat Suara Pemilu 2024 yang Dicoblos Secara Ilegal di Malaysia
Salah,Microsoft akan menonaktifkan komputer yang berbagi konten Anti – Mainstream demi mengurangi Mis-Informasi konten menjelang PEMILU 2024
Salah,"Hasil Pemungutan Suara di Luar Negeri Menunjukkan Prabowo-Gibran Menang Telak
"
Salah,“Hasil Perhitungan Surat Suara pemilu di Luar Negeri”
Salah,KPU Tak Lagi Keluarkan Undangan Fisik untuk Mencoblos dalam Pemilu 2024
Salah,Pesan WhatsApp Pemberitahuan Pemilu 2024 Tidak Menggunakan Undangan Fisik
Salah,"Hasil Hitung Suara Sebelum 14 Februari di Taiwan dan Malaysia, Prabowo-Gibran Unggul"
Salah,Foto Anies Baswedan Ajak Pendukungnya Coblos Pasangan Prabowo - Gibran
Salah,Microsoft Menonaktifkan Komputer yang Sebar Konten Antimainstream
Salah,Prabowo-Gibran Didiskualifikasi di Pilpres 2024
Salah,Cincin Perusak Surat Suara Pemilu 2024
Salah,Konten TikTok soal Alumni Trisakti Deklarasi Dukung Jokowi
Salah,“DKPP Putuskan Gibran Tidak Sah Mengikuti Pilpres 2024”
Salah,Foto yang Diklaim Presiden Jokowi Bagi-Bagi Sembako di Depan Istana Merdeka Saat Pemilu 2024
Salah,Klaim Prabowo Subianto bahwa Ada RS di Atambua Hanya Dilayani Satu Dokter
Benar,Anies Baswedan Sebut Ada 171 Kecamatan di 8 Provinsi Belum Miliki Puskesmas
Salah,Sidang DKPP Putuskan Gibran Tidak Sah Mengikuti Pilpres 2024
Salah,Klaim Anies Baswedan bahwa 45 Juta Orang Indonesia Belum Bekerja dengan Layak dan 70 Juta tidak Punya Jaminan Sosial
Benar,Klaim Prabowo Subianto bahwa Indonesia Kekurangan 140 ribu Dokter
Benar,Prabowo Sebut Stroke dan Jantung Jadi Penyebab Utama Kematian di Indonesia
Benar,"Ganjar Sebut Cegah Stunting dengan Gizi Sejak Dalam Kandungan, Benarkah?"
Benar,Ganjar Pranowo Sebut Pernah Membebaskan Pekerja Migran Indonesia Bermasalah
Benar,"Anies Baswedan Ada 3,2Juta Kasus Kekerasan pada Perempuan Selama 8 Tahun Terakhir"
Benar,"Anies Baswedan Sebut Ada 1,6 Juta Guru Belum Tersertifikasi"
Benar,Prabowo Subianto Sebut Dokter Spesialis Jantung dan Stroke Belum Merata
Benar,Ganjar Sebut Buruh Menuntut Revisi UU Cipta Kerja
Salah,Foto Anies Baswedan dan Titiek Soeharto Berpose 3 Jari Saat Pilkada
Salah,Video Surya Paloh Menyesal Usung Anies sebagai Capres
Salah,Klaim Ganjar Pranowo Ketersediaan Dokter Belum Memadai karena Hanya Ada 120 Ribu Dokter
Salah,Video Jokowi Bagi-bagi Amplop Uang ke Tukang Becak pada Masa Kampanye 2024
Salah,Jokowi Bagikan Sembako di Depan Istana Jelang Pemilu 2024
Salah,Kyai Yang Doakan Prabowo Gibran Meninggal Dunia
Salah,Video Pembagian Sembako Oleh Presiden Jokowi Dalam Rangka Pemilu
Salah,Foto Presiden Jokowi Bagikan Sembako di Depan Istana Merdeka Terkait Pemilu 2024
Salah,Rekaman Suara Surya Paloh Memarahi Anies Baswedan
Salah,“Sangat aneh KPU sekarang ini karena sudah coblosan duluan?… Demokrasi ala JokoSontolol”
Salah,PRABOWO CAPAI 80 PERSEN SUARA DIHASIL PEMILU 2024 TAIWAN
Benar,Video tentang WNI di Taipei Lapor Surat Suara Dalam Amplop Telah Tercoblos
Salah,"Klaim Gibran tentang impor Beras, Ekstensifikasi, dan Intensifikasi Lahan Pertanian "
Benar,"Mahfud MD: Impor Pangan di Era Jokowi Makin Banyak, Benarkah?"
Salah,"Muhaimin: Tenaga Asing Dominasi Industri Hilirisasi Pertambangan, Benarkah?"
Benar,Mahfud MD Sebut Impor Pangan pada Masa Jokowi Semakin Banyak
Salah,Muhaimin Sebut Industri Nikel Lebih Banyak Pekerjakan Tenaga Kerja Asing
Salah,Klaim Gibran Rakabuming bahwa Food Estate Gunung Mas Berhasil karena Telah Panen Jagung dan Singkong
Salah,Klaim Mahfud MD bahwa 20 Ribu Masyarakat Adat di Kaltim Tak Bisa Mencoblos karena Tak Punya KTP dan Sertifikat
Salah,Mahfud Sebut Laju Deforestasi Indonesia Tertinggi di Dunia
Salah,Mahfud Sebut Laju Deforestasi Indonesia Tertinggi di Dunia
Salah,"Gibran Sebut 1,5 Juta Hektar Hutan Adat Sudah Diakui Pemerintah"
Salah,Kedatangan Pengungsi Rohingya untuk Menambah Suara di Pemilu
Salah,Klaim EBT Indonesia Mencakup 3686 Gigawatt
Salah,"Klaim Gibran Rakabuming soal 1,5 Juta Hektare Hutan Adat yang Sudah Diakui"
Salah,Klaim Gibran soal Biodiesel B35 dan B40 Turunkan Impor Minyak dan Lebih Ramah Lingkungan
Salah,Klaim Gibran Rakabuming bahwa Angka Desa Tertinggal Turun karena Dana Desa  
Salah,"Mahfud MD Sebut Laju Penggundulan Hutan di Indonesia Tertinggi di Dunia, Benarkah?"
Benar,"Mahfud MD Sebut 17 Juta Petani Rerata Hanya Kuasai 0,5 Hektare"
Salah,"Gibran Sebut 1,5 Juta Hektar Hutan Adat Sudah Diakui, Ini Faktanya"
Salah,"Gibran Sebut 1,5 Juta Hektar Hutan Adat Sudah Diakui Pemerintah"
Benar,Mahfud MD Sebut Deforestasi dalam 10 Tahun Terakhir Lebih Luas dari 23 Kali Pulau Madura
Salah,"Klaim Gibran Rakabuming soal 1,5 Juta Hektare Hutan Adat yang Sudah Diakui"
Benar,Muhaimin Sebut 13.000 Desa Sudah Maju dan Mandiri
Benar,Gibran Sebut Potensi EBT Indonesia Mencapai 3.686 Gigawatt
Benar,Gibran Sebut Ada 5 Juta Peluang Green Jobs
Benar,Muhaimin Iskandar Target Energi Baru dan Terbarukan Turun 17 Persen
Benar,Gibran Sebut Dana Desa Turunkan Jumlah Desa Tertinggal
Salah,Prabowo Siapkan 4000 Amplop Cap Jempol untuk Serangan Fajar
Salah,“Video 19 Pengungsi Rohingya Ditangkap Polres Bengkulu”
Salah,Video AI Soeharto Kampanye untuk Golkar
Salah,Klaim Gelombang Kedatangan Pengungsi Rohingya untuk Menangkan Calon Tertentu dalam Pemilu 2024
Salah,Hasil Exit Poll Pemilu 2024 di Taiwan Menangkan Prabowo-Gibran pada 14 Januari 2024
Salah,PENEMUAN GUDANG KOTAK SUARA GANDA DI MAKASSAR UNTUK KECURANGAN PEMILU 2024
Salah,Video yang Diklaim Kontainer Pengangkut Logistik Pemilu untuk Prabowo-Gibran
Salah,Klaim KPU Susupkan 52 Juta Pemilih Pemilu 2024 dalam DPS 
Salah,“Warga Makassar Garang Terhadap Kecurangan Pemilu pak RT Dilabrak Bawaslu Menghilang”
Salah,Klaim tentang Truk Logistik Pemilu yang Terguling di Semarang Tanpa Pengawalan
Salah,KPU Coret Gibran sebagai Cawapres dan Jatuhkan Denda Rp 50 Miliar
Benar,Video WNI di Taiwan Telah Mendapat Surat Suara Pemilu 2024
Benar,"Klaim Anies Baswedan bahwa Kenaikan Gaji TNI Era SBY Sebanyak 9 kali, Era Jokowi Hanya 3 Kali"
Benar,"Klaim Anies tentang Lebih dari 160 Ribu Orang Meninggal Bukan karena Serangan Militer, Tapi karena Virus"
Benar,"CEK FAKTA : Anies Sebut SBY Lebih Sering Naikkan Gaji PNS Dibandingkan Jokowi, Ini Datanya"
Benar,"Ganjar Pranowo Sebut Global Peace Index Indonesia Turun, Benarkah?"
Salah,Klaim Indonesia Tidak Pernah Gagal Bayar Utang Luar Negeri
Salah,Klaim Ada Empat Fakultas Baru di Universitas Pertahanan
Benar,Klaim Anies Baswedan bahwa Tiongkok Memanfaatkan Beberapa Negara di ASEAN untuk Mempertahankan Pengaruhnya di Laut Cina Selatan
Salah,Klaim Anies Terkait Anggaran Kementerian Pertahanan Rp 700 Triliun untuk Beli Alutsista Bekas
Benar,Klaim Anies soal Indonesia Alami Lebih Dari 800 Juta Serangan Digital
Benar,Ganjar Pranowo Sebut Target Minimum Essential Force Tahun 2024 Tidak Tercapai
Salah,Anies Baswedan Utang Indonesia Belum Ideal karena Rasio Utang Terhadap GDP Masih Lebih 30 Persen
Benar,"Bawa Nama Jokowi, Anies Sebut Prabowo Punya 340 Ribu Hektare Lahan"
Benar,Klaim Anies Baswedan bahwa Tiongkok Memanfaatkan Beberapa Negara di ASEAN untuk Mempertahankan Pengaruhnya di Laut Cina Selatan
Benar,"Ganjar Pranowo Sebut Pengambilan Keputusan di ASEAN Rumit dan Harus Konsensus, Benarkah?"
Benar,Klaim Indonesia Tidak Pernah Gagal Bayar Utang Luar Negeri
Benar,Ganjar Pranowo Sebut Tahun 2023 Tidak Ada Aksi Terorisme di Indonesia. Benarkah?
Benar,Prabowo Subianto Sebut Politik Bebas Aktif Jaga Keamanan Indonesia
Benar,Anies: Lebih dari Separuh Tentara Tidak Punya Rumah Dinas
Salah,Klaim Anies Terkait Anggaran Kementerian Pertahanan Rp 700 Triliun untuk Beli Alutsista Bekas
Benar,Prabowo Sebut Membuka Empat Fakultas Baru Bidang Sains Teknologi dan Matematika
Benar,Ganjar Pranowo Sebut Anggaran Pertahanan Indonesia Belum Mencapai 2 Persen PDB
Benar,Klaim Anies soal Indonesia Alami Lebih Dari 800 Juta Serangan Digital
Benar,Ganjar: Anggaran Pertahanan Indonesia Tak Sampai 2 Persen dari PDB
Benar,Klaim Ada Empat Fakultas Baru di Universitas Pertahanan
Benar,"Anies Sebut 4,8 Juta Orang Indonesia Terpapar Narkoba"
Salah,PAN dan Golkar Beralih Dukungan karena Prabowo Curang
Salah,Video Anggota DPD dan Bacaleg PAN Mundur karena Zulhas Mengolok-olok Shalat
Salah,Ditemukan Gudang Kotak Suara Ganda di Makassar untuk Kecurangan Pemilu
Salah,SELURUH DPP DAN BACALEG PAN MENGUNDURKAN DIRI DARI PEMILU 2024 AKIBAT KETUM ZULHAS YANG MENGOLOK-OLOK SHOLAT
Salah,Ditemukan KK Manipulatif yang Berisi 1300 Orang Jelang Pemilu 2024
Salah,Video yang Diklaim Penemuan Gudang Kotak Suara Ganda di Makassar untuk Kecurangan Pemilu 2024
Salah,Video yang Diklaim Manipulasi Kartu Keluarga Berisi Ribuan Nama untuk Kecurangan Pemilu 2024
Salah,Klaim Muhaimin tentang Utang Luar Negeri yang Terlampau Banyak dan Membebani APBN
Salah,File APK Daftar PPS Pemilu 2024
Salah,Klaim Mahfud MD tentang 1 Persen Orang Kuasai 75 Persen Lahan di Indonesia
Salah,Klaim Muhaimin soal Ketimpangan Ekonomi karena Kekayaan 100 Orang Setara di Atas 100 Juta Jumlah Penduduk
Salah,Klaim Muhaimin tentang Pengembangan Kota dengan Tingkatkan Anggaran seperti Investasi di Pontianak
Salah,Klaim Gibran tentang Masalah Pencurian Data dengan Penguatan Keamanan Digital
Benar,Klaim Gibran soal Pertumbuhan Ekonomi Indonesia Rata-rata 5 Persen
Salah,Klaim Muhaimin tentang Pengembangan Kota dengan Tingkatkan Anggaran seperti Investasi di Pontianak
Benar,Gibran Sebut Sejumlah Sektor Ekonomi Halal Indonesia Masuk 10 Besar Dunia
Benar,Muhaimin: Indonesia Punya Potensi Jadi Pusat Ekonomi Syariah Dunia
Benar,Muhaimin Iskandar Sebut 20 Persen APBN untuk Bayar Utang Luar Negeri
Salah,"Mahfud MD Sebut 1 Persen Penduduk RI Kuasai 75 Persen Lahan, Apa Benar?"
Benar,Gibran Rakabuming Sebut Hilirisasi Tingkatkan Ekspor hingga 33 Miliar USD
Benar,Gibran Sebut Cak Imin Pernah Ikut Potong Tumpeng Peresmian IKN
Salah,Mahfud MD sebut belum ada investor yang masuk IKN
Benar,Mahfud MD Sebut Kasus Pinjol Masuk Hukum Perdata
Benar,Cak Imin sebut angka pengangguran di Indonesia capai delapan juta
Benar,Klaim Gibran soal Pertumbuhan Ekonomi Indonesia Rata-rata 5 Persen
Benar,Mahfud MD: Pulau Madura Kaya Gas Alam tapi Tidak Dioptimalkan
Salah,Manipulasi KTP dan NPWP Ganda pada Pemilu 2024
Salah,KPU Adakan Debat Bagi Istri Capres dan Cawapres di Pemilu 2024
Salah,Narasi tentang Pengungsi Rohingya Berpotensi Tambah Pemilih Pada Pemilu 2024
Salah,“Capres No. 1 Akan Mengumumkan Bahwa Seluruh Partai Pendukungnya Akan  Mundur dari Kabinet”
Salah,Tidak Ada Debat Istri Capres di Pemilu 2024
Salah,Klaim tentang Ribuan WNA Cina Mendapat E-KTP untuk Pemilu 2024
Salah,Hoaks Temuan KK Manipulatif Indikasikan Kecurangan Pemilu
Salah,"Megawati Serahkan Tumpeng ke Jokowi, Bersatu Dukung Ganjar"
Salah,Bawaslu Coret Gibran dari Daftar Cawapres
Salah,Klaim Anies Rakyat Tidak Percaya Proses Demokrasi di Indonesia
Benar,Klaim Anies Baswedan soal Indeks demokrasi dan Kebebasan Berbicara di indonesia Menurun
Benar,Ribuan Anak Bangsa Mengkritik Pemerintah Dihadapi dengan Kekerasan
Benar,Anies Baswedan Singgung Soal Kematian Harun Al Rasyid
Benar,Anies Sebut Laporan Mega Suryani Tidak Diperhatikan
Benar,Cek Fakta Debat Capres: Prabowo Taruh Isu Hukum & HAM Paling Atas di Visi Misi
Salah,"Megawati Serahkan Tumpeng ke Jokowi, Bersatu Dukung Ganjar"
Salah,Bawaslu Coret Gibran dari Daftar Cawapres
Salah,Anies Baswedan Berperilaku Tidak Sopan Terhadap Jusuf Kalla
Salah,Presiden Joko Widodo Bebaskan Pajak Perusahaan Cina Selama 30 Tahun  
Salah,Klarifikasi Judul Artikel Ribuan Akun Palsu Asal China Ingin Kacaukan Pemilu 2024
Salah,Video tentang Uang Suap dari Komunis Cina untuk Kecurangan Pemilu
Salah,Video yang Tampilkan Sejumlah Sampul Majalah Tempo Tentang Politik Dinasti  
Salah,Hindari Bawaslu Minta Masyarakat untuk Cek Fakta selama Masa Kampanye Pemilu 2024
Salah,825 TKA Cina Operator Kereta Cepat Jakarta-Bandung Ikut Pilpres  
Salah,Inpres Nomor 02 Tahun 2023 Bentuk Komunis Gaya Baru
Salah,Konten Berisi Klaim bahwa Anggota KPPS Pemilu 2019 Meninggal Karena Diracun PKI
Salah,Video Berisi Klaim KPU Telah Merilis Surat Suara Pilpres 2024 sejak Oktober 2023
Salah,Klarifikasi Video Gibran Bagikan Amplop Berisi Uang
Salah,"Tirto dan Kurawal Terbitkan E-Book Berjudul “Lupakan Netralitas Korbankan Korban Sejawat"""
Salah,"Mahfud MD Ngamuk di Istana Negara
"
Salah,Poster Berlogo Bawaslu Soal Larangan Terlibat Politik Praktis
Salah,Pemilu 2024 Tidak Ada Debat Capres-Cawapres
Salah,"Jokowi Merencanakan Kecurangan Pemilu 2024,  Mengintruksikan Aparat Desa Memenangkan Salah Satu Capres"
Salah,KPU Jatuhkan Denda dan Pidana Kepada Gibran Serta Dicoret dari Cawapres
Salah,Pidato Kim Jong-un tentang perang Israel-Palestina
Salah,"Tangkal Hoaks Pemilu 2024, AMSI Beri Pelatihan Cek Fakta kepada 30 Jurnalis"
